Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/08/2023;000;14.5;14.8;14.3;91.9;92;90;13.2;13.5;13;0;1024.38;1024.04;0.7;269;3.2;;0.0
01/08/2023;100;13.9;14.3;13.6;92;92;92;12.6;13;12.3;-0.34;1024.38;1024.04;0.3;294;3.2;;0.0
01/08/2023;200;13.4;13.5;13.4;93;93;92;12.3;12.4;12.2;-0.68;1024.04;1023.37;0.2;274;4.8;;0.0
01/08/2023;300;13.2;13.4;13.2;93.7;94;93;12.2;12.3;12.1;-0.34;1023.37;1023.03;0;270;1.6;;0.0
01/08/2023;400;13.3;13.4;13.2;94.7;95;94;12.4;12.6;12.3;0;1023.03;1023.03;0.1;270;3.2;;0.0
01/08/2023;500;13.2;13.3;13;95.1;96;95;12.4;12.7;12.2;0.34;1023.37;1023.03;0.6;270;3.2;;0.0
01/08/2023;600;13.3;13.5;13;96;96;96;12.6;12.9;12.4;0.68;1024.04;1023.37;0;293;1.6;;0.0
01/08/2023;700;13.6;15.2;12.9;96;96;95;13;14.4;12.3;0.34;1024.38;1024.04;0;45;0;;0.0
01/08/2023;800;16.2;17;15.3;92.8;95;89;15;15.3;14.5;0.68;1025.06;1024.38;2;254;6.4;;0.0
01/08/2023;900;18.3;19.6;17;81.4;89;74;15.1;15.4;14.8;0;1025.06;1025.06;3.3;235;8;;0.0
01/08/2023;1000;20.6;21.9;19.6;70.4;74;65;15;15.3;14.7;-0.68;1025.06;1024.38;4.5;237;9.7;;0.0
01/08/2023;1100;23;23.9;21.9;59.8;65;54;14.7;15.4;13.9;-0.68;1024.72;1023.71;6.3;219;11.3;;0.0
01/08/2023;1200;24.6;25.3;23.7;53.8;55;52;14.6;15.2;14.1;-1.02;1023.71;1022.69;6.3;180;12.9;;0.0
01/08/2023;1300;25.1;25.5;24.7;54.6;56;53;15.3;16.1;14.7;-1.02;1022.69;1021.67;6.8;187;16.1;;0.0
01/08/2023;1400;25.6;25.9;25.1;55.6;56;55;16;16.3;15.5;-0.68;1021.67;1021;6.6;116;14.5;;0.0
01/08/2023;1500;25.1;25.7;24.5;55.8;57;55;15.7;16.1;15.2;-0.34;1021.33;1020.66;5.8;164;12.9;;0.0
01/08/2023;1600;24.1;24.8;23.5;59.2;61;57;15.6;15.9;15.3;0.68;1021;1020.32;4.9;98;14.5;;0.0
01/08/2023;1700;22.4;24;20.4;64.4;71;60;15.3;15.7;14.9;0.34;1021.33;1021;4.4;119;9.7;;0.0
01/08/2023;1800;19.7;20.4;19.3;75.2;78;71;15.2;15.4;14.9;0;1021.33;1021.33;4.1;203;9.7;;0.0
